"App_ID","Open_Ports","Dependency_Risk","SQL_Injection","XSS","Broken_Auth","Vulnerable_Libraries","DAST_Score","DAST_Result","SCA_Result","Risk_Score","Verification_Status"
122,16,1,3,5,0,1,8,"Failed","Safe",5.2,"Not Verified"
123,11,8,5,0,4,5,9,"Failed","Risky",8.6,"Not Verified"
124,16,1,1,4,2,2,7,"Failed","Safe",4.6,"Not Verified"
125,20,2,4,5,3,8,12,"Failed","Risky",8,"Not Verified"
126,8,10,0,2,4,5,6,"Passed","Risky",7.6,"Not Verified"
127,3,2,2,5,2,6,9,"Failed","Risky",6.2,"Not Verified"
128,4,6,2,0,4,0,6,"Passed","Risky",6,"Not Verified"
129,20,3,3,2,2,0,7,"Failed","Safe",5.4,"Not Verified"
130,12,8,4,0,2,9,6,"Passed","Risky",6.8,"Not Verified"
131,17,1,3,0,5,7,8,"Failed","Risky",5.2,"Not Verified"
132,10,6,1,2,3,7,6,"Passed","Risky",6,"Not Verified"
133,20,8,3,2,2,6,7,"Failed","Risky",7.4,"Not Verified"
134,11,1,5,2,0,10,7,"Failed","Risky",4.6,"Not Verified"
135,8,4,3,3,3,2,9,"Failed","Safe",7,"Not Verified"
136,14,8,1,3,5,2,9,"Failed","Risky",8.6,"Not Verified"
137,13,3,4,5,2,5,11,"Failed","Safe",7.8,"Not Verified"
138,2,1,1,3,4,0,8,"Failed","Safe",5.2,"Not Verified"
139,11,6,3,0,1,0,4,"Passed","Risky",4.8,"Not Verified"
140,13,3,5,5,5,9,15,"Failed","Risky",10.2,"Not Verified"
141,14,5,4,0,1,9,5,"Passed","Risky",5,"Not Verified"
142,6,1,1,5,4,2,10,"Failed","Safe",6.4,"Not Verified"
143,8,6,2,2,1,10,5,"Passed","Risky",5.4,"Not Verified"
144,12,5,0,0,0,8,0,"Passed","Risky",2,"Not Verified"
145,4,1,1,1,1,10,3,"Passed","Risky",2.2,"Not Verified"
146,13,8,1,2,4,4,7,"Failed","Risky",7.4,"Not Verified"
147,14,9,4,0,3,6,7,"Failed","Risky",7.8,"Not Verified"
148,16,5,0,4,4,9,8,"Failed","Risky",6.8,"Not Verified"
149,1,5,1,5,5,8,11,"Failed","Risky",8.6,"Not Verified"
150,8,8,2,5,5,1,12,"Failed","Risky",10.4,"Not Verified"
151,8,4,3,2,2,1,7,"Failed","Safe",5.8,"Not Verified"
152,10,4,1,5,0,2,6,"Passed","Safe",5.2,"Verified"
153,8,4,1,4,1,10,6,"Passed","Risky",5.2,"Not Verified"
154,18,5,0,5,0,7,5,"Passed","Risky",5,"Not Verified"
155,9,4,0,1,1,9,2,"Passed","Risky",2.8,"Not Verified"
156,7,6,2,0,1,7,3,"Passed","Risky",4.2,"Not Verified"
157,7,10,3,0,3,6,6,"Passed","Risky",7.6,"Not Verified"
158,10,4,3,1,5,5,9,"Failed","Safe",7,"Not Verified"
159,11,1,5,2,3,5,10,"Failed","Safe",6.4,"Not Verified"
160,1,8,3,3,4,7,10,"Failed","Risky",9.2,"Not Verified"
161,19,5,0,4,0,6,4,"Passed","Risky",4.4,"Not Verified"
162,10,5,3,5,0,3,8,"Failed","Safe",6.8,"Not Verified"
163,13,10,0,2,1,6,3,"Passed","Risky",5.8,"Not Verified"
164,11,3,0,2,5,8,7,"Failed","Risky",5.4,"Not Verified"
165,11,1,5,5,0,4,10,"Failed","Safe",6.4,"Not Verified"
166,20,2,5,1,3,4,9,"Failed","Safe",6.2,"Not Verified"
167,7,3,2,0,4,8,6,"Passed","Risky",4.8,"Not Verified"
168,20,4,1,0,3,1,4,"Passed","Safe",4,"Verified"
169,9,10,0,4,3,10,7,"Failed","Risky",8.2,"Not Verified"
170,9,4,0,3,0,10,3,"Passed","Risky",3.4,"Not Verified"
171,5,4,1,1,0,0,2,"Passed","Safe",2.8,"Verified"
172,14,10,4,5,0,4,9,"Failed","Risky",9.4,"Not Verified"
173,14,1,0,4,1,2,5,"Passed","Safe",3.4,"Verified"
174,6,9,4,5,1,6,10,"Failed","Risky",9.6,"Not Verified"
175,1,1,4,0,3,7,7,"Failed","Risky",4.6,"Not Verified"
176,10,5,4,4,3,6,11,"Failed","Risky",8.6,"Not Verified"
177,17,4,4,4,1,10,9,"Failed","Risky",7,"Not Verified"
178,17,1,2,2,5,3,9,"Failed","Safe",5.8,"Not Verified"
179,7,7,0,1,0,1,1,"Passed","Risky",3.4,"Not Verified"
180,9,9,1,5,4,6,10,"Failed","Risky",9.6,"Not Verified"
181,20,5,2,4,1,10,7,"Failed","Risky",6.2,"Not Verified"
182,6,9,3,2,3,2,8,"Failed","Risky",8.4,"Not Verified"
183,18,6,5,3,2,5,10,"Failed","Risky",8.4,"Not Verified"
184,17,9,3,1,0,8,4,"Passed","Risky",6,"Not Verified"
185,5,3,1,4,0,9,5,"Passed","Risky",4.2,"Not Verified"
186,20,9,0,3,4,6,7,"Failed","Risky",7.8,"Not Verified"
187,3,1,1,1,3,0,5,"Passed","Safe",3.4,"Verified"
188,14,3,0,1,5,6,6,"Passed","Risky",4.8,"Not Verified"
189,1,6,0,5,0,1,5,"Passed","Risky",5.4,"Not Verified"
190,2,2,2,3,4,1,9,"Failed","Safe",6.2,"Not Verified"
191,4,1,3,0,1,4,4,"Passed","Safe",2.8,"Verified"
192,10,10,5,1,2,7,8,"Failed","Risky",8.8,"Not Verified"
193,1,5,5,3,3,7,11,"Failed","Risky",8.6,"Not Verified"
194,5,1,0,3,0,9,3,"Passed","Risky",2.2,"Not Verified"
195,8,6,0,4,0,5,4,"Passed","Risky",4.8,"Not Verified"
196,13,6,2,1,3,9,6,"Passed","Risky",6,"Not Verified"
197,18,8,2,2,5,9,9,"Failed","Risky",8.6,"Not Verified"
198,10,1,0,1,3,4,4,"Passed","Safe",2.8,"Verified"
199,6,6,1,2,5,4,8,"Failed","Risky",7.2,"Not Verified"
200,7,1,3,5,5,1,13,"Failed","Safe",8.2,"Not Verified"
201,9,6,4,3,0,8,7,"Failed","Risky",6.6,"Not Verified"
202,16,6,5,1,3,3,9,"Failed","Risky",7.8,"Not Verified"
203,17,5,3,3,3,4,9,"Failed","Safe",7.4,"Not Verified"
204,13,10,4,1,5,5,10,"Failed","Risky",10,"Not Verified"
205,8,9,3,1,1,0,5,"Passed","Risky",6.6,"Not Verified"
206,7,10,5,3,1,7,9,"Failed","Risky",9.4,"Not Verified"
207,20,3,1,5,5,1,11,"Failed","Safe",7.8,"Not Verified"
208,18,9,4,1,0,6,5,"Passed","Risky",6.6,"Not Verified"
209,17,5,1,0,1,8,2,"Passed","Risky",3.2,"Not Verified"
210,1,7,5,5,4,3,14,"Failed","Risky",11.2,"Not Verified"
211,2,2,5,2,3,3,10,"Failed","Safe",6.8,"Not Verified"
212,17,6,0,1,5,7,6,"Passed","Risky",6,"Not Verified"
213,2,10,5,1,1,6,7,"Failed","Risky",8.2,"Not Verified"
214,13,7,4,2,3,10,9,"Failed","Risky",8.2,"Not Verified"
215,17,9,2,5,1,6,8,"Failed","Risky",8.4,"Not Verified"
216,3,3,2,2,5,7,9,"Failed","Risky",6.6,"Not Verified"
217,18,9,1,5,5,9,11,"Failed","Risky",10.2,"Not Verified"
218,2,6,5,1,1,7,7,"Failed","Risky",6.6,"Not Verified"
219,5,6,3,1,5,8,9,"Failed","Risky",7.8,"Not Verified"
220,12,8,3,0,1,6,4,"Passed","Risky",5.6,"Not Verified"
221,13,4,3,5,5,3,13,"Failed","Safe",9.4,"Not Verified"
222,10,6,0,3,0,9,3,"Passed","Risky",4.2,"Not Verified"
223,6,1,1,4,4,0,9,"Failed","Safe",5.8,"Not Verified"
224,10,4,3,5,3,6,11,"Failed","Risky",8.2,"Not Verified"
225,10,6,1,0,2,0,3,"Passed","Risky",4.2,"Not Verified"
226,6,10,1,0,5,4,6,"Passed","Risky",7.6,"Not Verified"
227,16,7,4,0,2,1,6,"Passed","Risky",6.4,"Not Verified"
228,16,7,2,3,4,6,9,"Failed","Risky",8.2,"Not Verified"
229,3,5,1,1,4,6,6,"Passed","Risky",5.6,"Not Verified"
230,4,1,3,1,1,6,5,"Passed","Risky",3.4,"Not Verified"
231,3,3,3,3,0,4,6,"Passed","Safe",4.8,"Verified"
232,3,8,4,3,5,6,12,"Failed","Risky",10.4,"Not Verified"
233,16,1,4,4,0,0,8,"Failed","Safe",5.2,"Not Verified"
234,2,8,5,3,4,2,12,"Failed","Risky",10.4,"Not Verified"
235,15,7,1,2,1,2,4,"Passed","Risky",5.2,"Not Verified"
236,3,3,0,0,5,8,5,"Passed","Risky",4.2,"Not Verified"
237,9,1,4,1,5,3,10,"Failed","Safe",6.4,"Not Verified"
238,7,8,2,5,5,0,12,"Failed","Risky",10.4,"Not Verified"
239,9,8,4,4,3,4,11,"Failed","Risky",9.8,"Not Verified"
240,4,7,5,3,1,10,9,"Failed","Risky",8.2,"Not Verified"
241,2,9,2,5,2,0,9,"Failed","Risky",9,"Not Verified"
242,12,1,1,2,4,2,7,"Failed","Safe",4.6,"Not Verified"
243,9,8,2,0,0,6,2,"Passed","Risky",4.4,"Not Verified"
244,11,1,0,4,4,1,8,"Failed","Safe",5.2,"Not Verified"
245,7,6,3,3,5,8,11,"Failed","Risky",9,"Not Verified"
246,13,2,1,2,5,3,8,"Failed","Safe",5.6,"Not Verified"
247,5,5,2,2,0,1,4,"Passed","Safe",4.4,"Verified"
248,11,10,3,0,0,10,3,"Passed","Risky",5.8,"Not Verified"
249,1,3,5,4,1,4,10,"Failed","Safe",7.2,"Not Verified"
250,19,10,5,5,0,3,10,"Failed","Risky",10,"Not Verified"
251,12,4,1,4,1,4,6,"Passed","Safe",5.2,"Verified"
252,2,8,3,1,2,2,6,"Passed","Risky",6.8,"Not Verified"
253,17,6,0,4,1,7,5,"Passed","Risky",5.4,"Not Verified"
254,12,9,4,2,2,9,8,"Failed","Risky",8.4,"Not Verified"
255,3,5,5,1,5,6,11,"Failed","Risky",8.6,"Not Verified"
256,18,1,1,1,1,6,3,"Passed","Risky",2.2,"Not Verified"
257,15,1,5,3,0,10,8,"Failed","Risky",5.2,"Not Verified"
258,3,2,3,3,3,4,9,"Failed","Safe",6.2,"Not Verified"
259,19,10,1,2,5,6,8,"Failed","Risky",8.8,"Not Verified"
260,18,9,1,1,1,6,3,"Passed","Risky",5.4,"Not Verified"
261,17,1,0,5,4,1,9,"Failed","Safe",5.8,"Not Verified"
262,6,2,0,3,5,6,8,"Failed","Risky",5.6,"Not Verified"
263,10,9,2,0,1,5,3,"Passed","Risky",5.4,"Not Verified"
264,8,1,3,5,2,0,10,"Failed","Safe",6.4,"Not Verified"
265,10,2,2,5,3,0,10,"Failed","Safe",6.8,"Not Verified"
266,13,4,1,5,5,3,11,"Failed","Safe",8.2,"Not Verified"
267,20,8,5,4,1,6,10,"Failed","Risky",9.2,"Not Verified"
268,6,8,3,1,4,3,8,"Failed","Risky",8,"Not Verified"
269,20,5,2,1,1,4,4,"Passed","Safe",4.4,"Verified"
270,20,9,0,3,2,1,5,"Passed","Risky",6.6,"Not Verified"
271,9,10,2,0,1,8,3,"Passed","Risky",5.8,"Not Verified"
272,16,1,5,2,4,2,11,"Failed","Safe",7,"Not Verified"
273,8,4,3,4,2,3,9,"Failed","Safe",7,"Not Verified"
274,7,7,0,3,5,5,8,"Failed","Risky",7.6,"Not Verified"
275,10,6,2,4,4,1,10,"Failed","Risky",8.4,"Not Verified"
276,17,2,1,1,0,0,2,"Passed","Safe",2,"Verified"
277,18,7,1,3,0,8,4,"Passed","Risky",5.2,"Not Verified"
278,8,3,3,0,3,6,6,"Passed","Risky",4.8,"Not Verified"
279,19,2,4,2,4,6,10,"Failed","Risky",6.8,"Not Verified"
280,10,1,4,1,3,0,8,"Failed","Safe",5.2,"Not Verified"
281,11,6,5,2,1,6,8,"Failed","Risky",7.2,"Not Verified"
282,17,6,4,0,4,6,8,"Failed","Risky",7.2,"Not Verified"
283,12,4,4,1,5,9,10,"Failed","Risky",7.6,"Not Verified"
284,2,5,3,2,3,8,8,"Failed","Risky",6.8,"Not Verified"
285,19,5,3,5,1,9,9,"Failed","Risky",7.4,"Not Verified"
286,13,10,4,1,1,6,6,"Passed","Risky",7.6,"Not Verified"
287,13,8,3,2,0,5,5,"Passed","Risky",6.2,"Not Verified"
288,19,6,0,0,3,8,3,"Passed","Risky",4.2,"Not Verified"
289,10,10,0,1,0,4,1,"Passed","Risky",4.6,"Not Verified"
290,16,7,1,3,0,4,4,"Passed","Risky",5.2,"Not Verified"
291,5,3,3,5,0,7,8,"Failed","Risky",6,"Not Verified"
292,4,1,5,1,2,0,8,"Failed","Safe",5.2,"Not Verified"
293,18,2,1,1,0,1,2,"Passed","Safe",2,"Verified"
294,1,10,3,0,0,7,3,"Passed","Risky",5.8,"Not Verified"
295,16,5,5,4,1,3,10,"Failed","Safe",8,"Not Verified"
296,17,5,4,0,4,9,8,"Failed","Risky",6.8,"Not Verified"
297,12,7,4,2,1,7,7,"Failed","Risky",7,"Not Verified"
298,2,1,2,3,2,7,7,"Failed","Risky",4.6,"Not Verified"
299,18,1,1,5,2,9,8,"Failed","Risky",5.2,"Not Verified"
300,12,10,1,0,5,10,6,"Passed","Risky",7.6,"Not Verified"
301,15,2,4,1,4,8,9,"Failed","Risky",6.2,"Not Verified"
302,19,2,0,5,4,2,9,"Failed","Safe",6.2,"Not Verified"
303,6,5,1,5,1,5,7,"Failed","Safe",6.2,"Not Verified"
304,16,1,1,5,4,4,10,"Failed","Safe",6.4,"Not Verified"
305,15,3,2,0,3,0,5,"Passed","Safe",4.2,"Verified"
306,19,10,0,4,3,3,7,"Failed","Risky",8.2,"Not Verified"
307,3,9,5,1,2,10,8,"Failed","Risky",8.4,"Not Verified"
308,14,3,4,5,5,6,14,"Failed","Risky",9.6,"Not Verified"
309,1,2,1,4,4,0,9,"Failed","Safe",6.2,"Not Verified"
310,1,1,4,3,0,8,7,"Failed","Risky",4.6,"Not Verified"
311,16,9,1,2,5,10,8,"Failed","Risky",8.4,"Not Verified"
312,11,3,5,3,2,9,10,"Failed","Risky",7.2,"Not Verified"
313,4,2,3,3,1,8,7,"Failed","Risky",5,"Not Verified"
314,12,9,2,5,3,0,10,"Failed","Risky",9.6,"Not Verified"
315,13,10,4,3,3,8,10,"Failed","Risky",10,"Not Verified"
316,10,10,3,4,0,9,7,"Failed","Risky",8.2,"Not Verified"
317,10,6,1,4,1,5,6,"Passed","Risky",6,"Not Verified"
318,7,6,0,1,0,9,1,"Passed","Risky",3,"Not Verified"
319,18,8,5,2,5,0,12,"Failed","Risky",10.4,"Not Verified"
320,17,4,5,0,1,6,6,"Passed","Risky",5.2,"Not Verified"
321,20,2,5,3,5,2,13,"Failed","Safe",8.6,"Not Verified"
322,9,1,2,0,2,2,4,"Passed","Safe",2.8,"Verified"
323,11,2,3,1,3,4,7,"Failed","Safe",5,"Not Verified"
324,12,7,1,1,5,0,7,"Failed","Risky",7,"Not Verified"
325,8,7,2,0,0,1,2,"Passed","Risky",4,"Not Verified"
326,18,4,4,1,4,6,9,"Failed","Risky",7,"Not Verified"
327,5,5,0,3,2,0,5,"Passed","Safe",5,"Verified"
328,18,10,3,1,0,7,4,"Passed","Risky",6.4,"Not Verified"
329,6,1,1,5,5,2,11,"Failed","Safe",7,"Not Verified"
330,10,10,5,0,5,5,10,"Failed","Risky",10,"Not Verified"
331,9,9,2,2,1,8,5,"Passed","Risky",6.6,"Not Verified"
332,11,7,1,2,0,0,3,"Passed","Risky",4.6,"Not Verified"
333,6,5,1,3,3,10,7,"Failed","Risky",6.2,"Not Verified"
334,12,7,0,5,2,2,7,"Failed","Risky",7,"Not Verified"
335,19,5,1,5,1,4,7,"Failed","Safe",6.2,"Not Verified"
336,4,2,5,5,4,6,14,"Failed","Risky",9.2,"Not Verified"
337,3,8,4,0,1,1,5,"Passed","Risky",6.2,"Not Verified"
338,14,7,5,2,3,9,10,"Failed","Risky",8.8,"Not Verified"
339,8,10,5,5,4,6,14,"Failed","Risky",12.4,"Not Verified"
340,6,8,2,0,3,5,5,"Passed","Risky",6.2,"Not Verified"
341,4,9,4,2,5,0,11,"Failed","Risky",10.2,"Not Verified"
342,10,3,0,1,4,3,5,"Passed","Safe",4.2,"Verified"
343,16,6,0,1,3,3,4,"Passed","Risky",4.8,"Not Verified"
344,16,7,1,3,4,10,8,"Failed","Risky",7.6,"Not Verified"
345,20,3,5,4,5,3,14,"Failed","Safe",9.6,"Not Verified"
346,10,8,5,3,4,1,12,"Failed","Risky",10.4,"Not Verified"
347,6,1,5,1,1,3,7,"Failed","Safe",4.6,"Not Verified"
348,19,9,4,4,1,7,9,"Failed","Risky",9,"Not Verified"
349,4,6,3,3,1,2,7,"Failed","Risky",6.6,"Not Verified"
350,9,9,1,5,1,8,7,"Failed","Risky",7.8,"Not Verified"
351,4,3,3,5,5,7,13,"Failed","Risky",9,"Not Verified"
352,15,3,3,0,1,6,4,"Passed","Risky",3.6,"Not Verified"
353,20,6,3,1,3,7,7,"Failed","Risky",6.6,"Not Verified"
354,17,9,0,0,3,3,3,"Passed","Risky",5.4,"Not Verified"
355,7,9,2,2,1,5,5,"Passed","Risky",6.6,"Not Verified"
356,15,3,1,1,3,4,5,"Passed","Safe",4.2,"Verified"
357,5,5,3,5,4,2,12,"Failed","Safe",9.2,"Not Verified"
358,14,7,0,4,1,7,5,"Passed","Risky",5.8,"Not Verified"
359,15,2,2,4,4,8,10,"Failed","Risky",6.8,"Not Verified"
360,15,6,1,1,3,7,5,"Passed","Risky",5.4,"Not Verified"
361,16,8,5,5,4,7,14,"Failed","Risky",11.6,"Not Verified"
362,19,5,4,0,0,10,4,"Passed","Risky",4.4,"Not Verified"
363,8,3,1,3,5,10,9,"Failed","Risky",6.6,"Not Verified"
364,5,10,1,4,5,10,10,"Failed","Risky",10,"Not Verified"
365,7,5,4,1,5,5,10,"Failed","Safe",8,"Not Verified"
366,20,4,3,5,1,3,9,"Failed","Safe",7,"Not Verified"
367,16,4,4,3,5,0,12,"Failed","Safe",8.8,"Not Verified"
368,16,7,2,1,3,2,6,"Passed","Risky",6.4,"Not Verified"
369,9,1,3,4,2,2,9,"Failed","Safe",5.8,"Not Verified"
370,11,2,4,5,1,10,10,"Failed","Risky",6.8,"Not Verified"
371,11,5,2,4,4,2,10,"Failed","Safe",8,"Not Verified"
372,19,3,2,3,0,1,5,"Passed","Safe",4.2,"Verified"
373,10,7,1,2,0,7,3,"Passed","Risky",4.6,"Not Verified"
374,2,8,3,2,3,3,8,"Failed","Risky",8,"Not Verified"
375,6,5,1,2,1,9,4,"Passed","Risky",4.4,"Not Verified"
376,20,7,3,4,2,1,9,"Failed","Risky",8.2,"Not Verified"
377,14,3,0,4,5,1,9,"Failed","Safe",6.6,"Not Verified"
378,14,6,2,2,5,7,9,"Failed","Risky",7.8,"Not Verified"
