"App_ID","Vulnerability_Count","Dependency_Risk","Code_Complexity","SAST_Issues","Risk_Score","Severity","SAST_Result"
110,3,1,56,1,2,"Low","Passed"
111,11,10,86,9,10.3,"Medium","Failed"
112,13,5,44,13,10.6,"Medium","Failed"
113,18,10,44,4,12.8,"High","Passed"
114,6,8,58,2,5.8,"Low","Passed"
115,8,5,34,4,6.3,"Low","Passed"
116,6,6,70,12,7.2,"Medium","Failed"
117,1,9,74,12,5.6,"Low","Failed"
118,15,3,7,14,11.2,"Medium","Failed"
119,12,1,17,5,7.3,"Medium","Passed"
120,18,9,40,0,11.7,"Medium","Passed"
121,19,2,53,9,11.9,"Medium","Failed"
122,14,1,37,6,8.5,"Medium","Passed"
123,6,8,79,1,5.6,"Low","Passed"
124,3,9,81,8,5.8,"Low","Passed"
125,0,2,15,10,2.6,"Low","Failed"
126,7,3,45,3,5,"Low","Passed"
127,19,6,49,1,11.5,"Medium","Passed"
128,15,1,81,14,10.6,"Medium","Failed"
129,10,7,21,9,8.9,"Medium","Failed"
130,15,2,30,6,9.3,"Medium","Passed"
131,19,5,36,2,11.4,"Medium","Passed"
132,7,10,54,7,7.9,"Medium","Passed"
133,2,3,66,12,4.3,"Low","Failed"
134,3,7,12,2,4,"Low","Passed"
135,19,2,27,4,10.9,"Medium","Passed"
136,11,8,67,14,10.7,"Medium","Failed"
137,16,3,19,2,9.3,"Medium","Passed"
138,9,4,34,5,6.7,"Low","Passed"
139,19,3,24,6,11.6,"Medium","Passed"
140,10,3,36,11,8.1,"Medium","Failed"
141,7,2,27,15,7.1,"Medium","Failed"
142,13,4,78,4,8.5,"Medium","Passed"
143,20,4,40,7,12.6,"High","Passed"
144,12,6,49,15,10.8,"Medium","Failed"
145,1,6,85,7,3.7,"Low","Passed"
146,10,3,62,2,6.3,"Low","Passed"
147,12,9,22,9,10.5,"Medium","Failed"
148,13,5,98,0,8,"Medium","Passed"
149,5,5,87,3,4.6,"Low","Passed"
150,7,8,24,3,6.5,"Low","Passed"
151,11,5,37,10,9,"Medium","Failed"
152,3,5,99,14,5.8,"Low","Failed"
153,12,3,36,3,7.5,"Medium","Passed"
154,13,7,45,8,10.2,"Medium","Passed"
155,20,1,59,4,11.1,"Medium","Passed"
156,15,2,48,6,9.3,"Medium","Passed"
157,0,1,77,4,1.1,"Low","Passed"
158,7,8,4,0,5.9,"Low","Passed"
159,7,1,63,3,4.4,"Low","Passed"
160,9,2,16,1,5.3,"Low","Passed"
161,7,10,62,10,8.5,"Medium","Failed"
162,17,2,23,0,9.1,"Medium","Passed"
163,20,6,32,12,14.2,"High","Failed"
164,8,3,23,14,7.7,"Medium","Failed"
165,6,8,69,9,7.2,"Medium","Failed"
166,6,1,76,15,6.3,"Low","Failed"
167,9,6,97,1,6.5,"Low","Passed"
168,10,8,54,3,8,"Medium","Passed"
169,0,1,83,3,0.9,"Low","Passed"
170,18,4,58,9,12,"Medium","Failed"
171,9,8,16,15,9.9,"Medium","Failed"
172,20,3,44,1,11.1,"Medium","Passed"
173,12,1,10,15,9.3,"Medium","Failed"
174,10,6,59,11,9,"Medium","Failed"
175,10,3,8,15,8.9,"Medium","Failed"
176,19,5,63,7,12.4,"High","Passed"
177,6,1,20,12,5.7,"Low","Failed"
178,19,6,18,5,12.3,"High","Passed"
179,8,5,38,2,5.9,"Low","Passed"
180,8,1,31,3,4.9,"Low","Passed"
181,4,8,34,1,4.6,"Low","Passed"
182,13,9,49,10,11.2,"Medium","Failed"
183,13,5,59,0,8,"Medium","Passed"
184,5,5,91,15,7,"Low","Failed"
185,0,8,76,1,2.6,"Low","Passed"
186,9,4,77,7,7.1,"Medium","Passed"
187,16,4,28,4,10,"Medium","Passed"
188,16,4,50,11,11.4,"Medium","Failed"
189,20,5,28,10,13.5,"High","Failed"
190,6,4,44,14,7,"Low","Failed"
191,20,6,7,14,14.6,"High","Failed"
192,8,10,93,6,8.2,"Medium","Passed"
193,19,4,74,1,10.9,"Medium","Passed"
194,5,1,72,14,5.6,"Low","Failed"
195,17,8,76,4,11.7,"Medium","Passed"
196,16,5,46,8,11.1,"Medium","Passed"
197,4,5,32,14,6.3,"Low","Failed"
198,19,10,85,6,13.7,"High","Passed"
199,2,3,95,8,3.5,"Low","Passed"
200,13,1,58,7,8.2,"Medium","Passed"
201,0,2,19,8,2.2,"Low","Passed"
202,1,3,88,10,3.4,"Low","Failed"
203,3,4,73,9,4.5,"Low","Failed"
204,9,10,8,0,7.5,"Medium","Passed"
205,0,4,98,9,3,"Low","Failed"
206,4,4,90,14,6,"Low","Failed"
207,20,10,93,6,14.2,"High","Passed"
208,7,1,41,11,6,"Low","Failed"
209,20,9,42,0,12.7,"High","Passed"
210,12,1,39,11,8.5,"Medium","Failed"
211,17,5,23,4,10.8,"Medium","Passed"
212,9,4,27,2,6.1,"Low","Passed"
213,5,1,4,1,3,"Low","Passed"
214,6,7,34,13,7.7,"Medium","Failed"
215,8,9,26,12,9.1,"Medium","Failed"
216,15,5,47,6,10.2,"Medium","Passed"
217,16,9,64,12,13.1,"High","Failed"
218,20,6,65,14,14.6,"High","Failed"
219,12,9,71,2,9.1,"Medium","Passed"
220,20,3,17,1,11.1,"Medium","Passed"
221,7,9,95,8,7.8,"Medium","Passed"
222,20,1,43,10,12.3,"High","Failed"
223,6,3,36,9,5.7,"Low","Failed"
224,19,6,100,8,12.9,"High","Passed"
225,17,2,38,15,12.1,"High","Failed"
226,16,1,84,8,9.9,"Medium","Passed"
227,0,10,60,7,4.4,"Low","Passed"
228,1,5,17,3,2.6,"Low","Passed"
229,16,1,64,10,10.3,"Medium","Failed"
230,1,6,59,9,4.1,"Low","Failed"
231,12,6,26,2,8.2,"Medium","Passed"
232,16,8,81,3,11,"Medium","Passed"
233,2,1,32,6,2.5,"Low","Passed"
234,17,6,90,9,12.1,"High","Failed"
235,1,1,71,3,1.4,"Low","Passed"
236,4,6,69,13,6.4,"Low","Failed"
237,11,6,29,0,7.3,"Medium","Passed"
238,12,5,88,4,8.3,"Medium","Passed"
239,9,10,21,10,9.5,"Medium","Failed"
240,5,9,48,13,7.8,"Medium","Failed"
241,9,10,85,2,7.9,"Medium","Passed"
242,9,3,37,3,6,"Low","Passed"
243,5,9,11,13,7.8,"Medium","Failed"
244,15,5,58,15,12,"Medium","Failed"
245,15,7,96,0,9.6,"Medium","Passed"
246,2,2,87,4,2.4,"Low","Passed"
247,3,6,11,13,5.9,"Low","Failed"
248,2,10,87,2,4.4,"Low","Passed"
249,2,7,100,13,5.7,"Low","Failed"
250,15,9,22,0,10.2,"Medium","Passed"
251,1,3,92,10,3.4,"Low","Failed"
252,14,9,17,0,9.7,"Medium","Passed"
253,2,6,79,8,4.4,"Low","Passed"
254,8,6,34,10,7.8,"Medium","Failed"
255,6,8,97,10,7.4,"Medium","Failed"
256,8,4,73,2,5.6,"Low","Passed"
257,3,6,35,3,3.9,"Low","Passed"
258,1,1,4,11,3,"Low","Failed"
259,11,4,41,5,7.7,"Medium","Passed"
260,8,6,75,11,8,"Medium","Failed"
261,10,10,83,15,11,"Medium","Failed"
262,6,7,41,8,6.7,"Low","Passed"
263,12,7,42,13,10.7,"Medium","Failed"
264,4,5,16,8,5.1,"Low","Passed"
265,10,1,13,14,8.1,"Medium","Failed"
266,0,3,24,13,3.5,"Low","Failed"
267,18,8,86,2,11.8,"Medium","Passed"
268,11,1,77,7,7.2,"Medium","Passed"
269,1,8,47,15,5.9,"Low","Failed"
270,20,7,4,0,12.1,"High","Passed"
271,16,3,72,9,10.7,"Medium","Failed"
272,11,1,10,10,7.8,"Medium","Failed"
273,2,8,37,0,3.4,"Low","Passed"
274,17,8,18,14,13.7,"High","Failed"
275,14,7,78,6,10.3,"Medium","Passed"
276,2,9,22,12,6.1,"Low","Failed"
277,18,1,93,13,11.9,"Medium","Failed"
278,17,8,19,5,11.9,"Medium","Passed"
279,16,1,83,6,9.5,"Medium","Passed"
280,5,6,50,14,7.1,"Medium","Failed"
281,9,2,38,10,7.1,"Medium","Failed"
282,7,5,40,13,7.6,"Medium","Failed"
283,9,10,7,4,8.3,"Medium","Passed"
284,12,3,95,14,9.7,"Medium","Failed"
285,19,10,36,13,15.1,"High","Failed"
286,5,4,12,7,5.1,"Low","Passed"
287,19,8,10,15,14.9,"High","Failed"
288,19,6,60,9,13.1,"High","Failed"
289,8,9,10,0,6.7,"Low","Passed"
290,15,5,79,0,9,"Medium","Passed"
291,7,1,74,9,5.6,"Low","Failed"
292,6,1,93,7,4.7,"Low","Passed"
293,9,2,75,2,5.5,"Low","Passed"
294,16,10,44,3,11.6,"Medium","Passed"
295,17,9,61,7,12.6,"High","Passed"
296,7,1,54,4,4.6,"Low","Passed"
297,18,2,66,13,12.2,"High","Failed"
298,9,9,33,15,10.2,"Medium","Failed"
299,10,1,21,10,7.3,"Medium","Failed"
300,16,2,19,15,11.6,"Medium","Failed"
301,11,4,79,2,7.1,"Medium","Passed"
302,1,8,45,13,5.5,"Low","Failed"
303,18,8,6,9,13.2,"High","Failed"
304,12,5,67,0,7.5,"Medium","Passed"
305,12,9,90,14,11.5,"Medium","Failed"
306,18,10,36,14,14.8,"High","Failed"
307,9,1,74,0,4.8,"Low","Passed"
308,15,4,67,12,11.1,"Medium","Failed"
309,4,7,4,3,4.7,"Low","Passed"
310,3,6,38,1,3.5,"Low","Passed"
311,17,2,79,15,12.1,"High","Failed"
312,0,7,39,13,4.7,"Low","Failed"
313,15,3,66,4,9.2,"Medium","Passed"
314,16,2,88,15,11.6,"Medium","Failed"
315,11,1,13,13,8.4,"Medium","Failed"
316,20,6,63,8,13.4,"High","Passed"
317,1,6,95,7,3.7,"Low","Passed"
318,17,4,24,14,12.5,"High","Failed"
319,11,5,70,12,9.4,"Medium","Failed"
320,14,5,66,4,9.3,"Medium","Passed"
321,18,10,30,10,14,"High","Failed"
322,20,8,12,1,12.6,"High","Passed"
323,5,6,90,13,6.9,"Low","Failed"
324,15,10,41,12,12.9,"High","Failed"
325,14,7,59,10,11.1,"Medium","Failed"
326,18,3,44,11,12.1,"High","Failed"
327,2,1,2,9,3.1,"Low","Failed"
328,13,2,60,12,9.5,"Medium","Failed"
329,0,10,43,3,3.6,"Low","Passed"
330,0,5,41,1,1.7,"Low","Passed"
331,15,5,56,1,9.2,"Medium","Passed"
332,10,7,76,14,9.9,"Medium","Failed"
333,3,1,65,13,4.4,"Low","Failed"
334,11,1,27,3,6.4,"Low","Passed"
335,12,10,34,8,10.6,"Medium","Passed"
336,9,2,50,14,7.9,"Medium","Failed"
337,9,2,39,1,5.3,"Low","Passed"
338,6,5,28,3,5.1,"Low","Passed"
339,17,1,69,11,11,"Medium","Failed"
340,16,3,47,12,11.3,"Medium","Failed"
341,19,10,29,1,12.7,"High","Passed"
342,8,9,54,10,8.7,"Medium","Failed"
343,20,3,21,9,12.7,"High","Failed"
344,10,2,69,6,6.8,"Low","Passed"
345,11,1,12,10,7.8,"Medium","Failed"
346,7,9,36,13,8.8,"Medium","Failed"
347,17,3,93,3,10,"Medium","Passed"
348,4,2,68,9,4.4,"Low","Failed"
349,17,9,25,6,12.4,"High","Passed"
350,5,10,1,11,7.7,"Medium","Failed"
351,9,10,26,15,10.5,"Medium","Failed"
352,8,6,52,1,6,"Low","Passed"
353,10,6,64,15,9.8,"Medium","Failed"
354,5,8,80,1,5.1,"Low","Passed"
355,11,4,79,11,8.9,"Medium","Failed"
356,18,2,14,5,10.6,"Medium","Passed"
357,3,1,74,9,3.6,"Low","Failed"
358,2,2,92,0,1.6,"Low","Passed"
359,13,7,48,7,10,"Medium","Passed"
360,7,7,14,7,7,"Low","Passed"
361,5,4,61,15,6.7,"Low","Failed"
362,3,5,77,6,4.2,"Low","Passed"
363,9,10,8,13,10.1,"Medium","Failed"
364,15,1,91,10,9.8,"Medium","Failed"
365,15,10,18,9,12.3,"High","Failed"
366,19,9,15,7,13.6,"High","Passed"
367,9,7,55,9,8.4,"Medium","Failed"
368,5,5,34,2,4.4,"Low","Passed"
369,18,7,85,13,13.7,"High","Failed"
370,3,5,25,14,5.8,"Low","Failed"
371,8,2,58,10,6.6,"Low","Failed"
372,3,8,75,13,6.5,"Low","Failed"
373,14,7,1,9,10.9,"Medium","Failed"
374,19,10,54,14,15.3,"High","Failed"
375,20,8,77,1,12.6,"High","Passed"
376,16,9,40,0,10.7,"Medium","Passed"
377,6,3,72,6,5.1,"Low","Passed"
378,14,6,18,14,11.6,"Medium","Failed"
379,4,7,39,5,5.1,"Low","Passed"
380,13,3,88,3,8,"Medium","Passed"
381,14,8,45,6,10.6,"Medium","Passed"
382,14,1,79,12,9.7,"Medium","Failed"
383,15,9,90,13,12.8,"High","Failed"
384,18,6,80,0,10.8,"Medium","Passed"
385,7,9,24,8,7.8,"Medium","Passed"
386,4,3,44,8,4.5,"Low","Passed"
387,6,3,96,6,5.1,"Low","Passed"
388,19,6,80,3,11.9,"Medium","Passed"
389,15,9,43,6,11.4,"Medium","Passed"
390,15,9,69,1,10.4,"Medium","Passed"
391,8,3,4,9,6.7,"Low","Failed"
392,10,5,26,3,7.1,"Medium","Passed"
393,10,7,57,11,9.3,"Medium","Failed"
394,18,2,78,15,12.6,"High","Failed"
395,9,6,72,12,8.7,"Medium","Failed"
396,1,8,86,3,3.5,"Low","Passed"
397,5,5,79,10,6,"Low","Failed"
398,19,3,30,0,10.4,"Medium","Passed"
399,13,10,43,15,12.5,"High","Failed"
400,13,5,56,6,9.2,"Medium","Passed"
401,5,4,95,1,3.9,"Low","Passed"
402,17,4,52,5,10.7,"Medium","Passed"
403,1,7,74,12,5,"Low","Failed"
404,7,1,83,6,5,"Low","Passed"
405,10,2,96,7,7,"Low","Passed"
406,20,5,5,3,12.1,"High","Passed"
407,6,3,1,13,6.5,"Low","Failed"
408,18,7,76,2,11.5,"Medium","Passed"
409,7,8,18,0,5.9,"Low","Passed"
410,9,5,6,12,8.4,"Medium","Failed"
411,4,7,64,7,5.5,"Low","Passed"
412,16,3,79,3,9.5,"Medium","Passed"
413,5,6,95,15,7.3,"Medium","Failed"
414,7,8,50,10,7.9,"Medium","Failed"
415,19,10,88,15,15.5,"High","Failed"
416,5,6,42,7,5.7,"Low","Passed"
417,14,10,33,2,10.4,"Medium","Passed"
418,16,8,94,0,10.4,"Medium","Passed"
419,2,10,29,4,4.8,"Low","Passed"
420,14,6,62,6,10,"Medium","Passed"
421,19,3,6,13,13,"High","Failed"
422,0,7,59,12,4.5,"Low","Failed"
423,4,1,21,9,4.1,"Low","Failed"
424,10,6,25,4,7.6,"Medium","Passed"
425,14,5,96,10,10.5,"Medium","Failed"
426,19,2,15,1,10.3,"Medium","Passed"
427,1,7,72,9,4.4,"Low","Failed"
428,15,3,22,3,9,"Medium","Passed"
429,18,3,86,7,11.3,"Medium","Passed"
430,9,4,37,3,6.3,"Low","Passed"
431,18,1,60,10,11.3,"Medium","Failed"
432,16,6,50,1,10,"Medium","Passed"
433,6,5,8,13,7.1,"Medium","Failed"
434,5,2,84,3,3.7,"Low","Passed"
435,11,7,36,0,7.6,"Medium","Passed"
436,3,10,41,13,7.1,"Medium","Failed"
437,20,1,75,13,12.9,"High","Failed"
438,18,5,56,6,11.7,"Medium","Passed"
439,1,5,31,5,3,"Low","Passed"
440,3,8,80,4,4.7,"Low","Passed"
441,10,3,10,6,7.1,"Medium","Passed"
442,0,1,100,1,0.5,"Low","Passed"
443,18,4,33,14,13,"High","Failed"
444,17,8,11,6,12.1,"High","Passed"
445,15,2,66,1,8.3,"Medium","Passed"
446,2,4,8,3,2.8,"Low","Passed"
447,0,8,23,15,5.4,"Low","Failed"
448,1,8,42,0,2.9,"Low","Passed"
449,1,5,29,14,4.8,"Low","Failed"
450,7,6,95,10,7.3,"Medium","Failed"
451,19,7,52,4,12.4,"High","Passed"
452,13,9,85,6,10.4,"Medium","Passed"
453,12,7,51,15,11.1,"Medium","Failed"
454,6,4,4,11,6.4,"Low","Failed"
455,7,2,45,12,6.5,"Low","Failed"
456,2,8,15,7,4.8,"Low","Passed"
457,15,8,35,1,10.1,"Medium","Passed"
458,0,1,50,14,3.1,"Low","Failed"
459,11,7,32,15,10.6,"Medium","Failed"
460,17,2,68,11,11.3,"Medium","Failed"
461,20,10,82,0,13,"High","Passed"
462,13,6,17,2,8.7,"Medium","Passed"
463,7,4,74,1,4.9,"Low","Passed"
464,4,6,84,10,5.8,"Low","Failed"
465,16,10,63,0,11,"Medium","Passed"
466,10,3,16,9,7.7,"Medium","Failed"
467,3,6,31,2,3.7,"Low","Passed"
468,12,9,100,13,11.3,"Medium","Failed"
469,7,8,70,9,7.7,"Medium","Failed"
470,14,9,69,10,11.7,"Medium","Failed"
471,3,7,34,0,3.6,"Low","Passed"
472,12,3,84,14,9.7,"Medium","Failed"
473,2,8,77,14,6.2,"Low","Failed"
474,6,10,22,1,6.2,"Low","Passed"
475,0,2,11,3,1.2,"Low","Passed"
476,5,8,2,13,7.5,"Medium","Failed"
477,12,8,29,6,9.6,"Medium","Passed"
478,16,8,3,1,10.6,"Medium","Passed"
479,20,2,69,9,12.4,"High","Failed"
480,5,1,4,15,5.8,"Low","Failed"
481,9,9,62,15,10.2,"Medium","Failed"
482,12,5,19,0,7.5,"Medium","Passed"
483,5,7,69,15,7.6,"Medium","Failed"
484,8,3,18,12,7.3,"Medium","Failed"
485,7,6,88,0,5.3,"Low","Passed"
486,0,8,14,7,3.8,"Low","Passed"
487,15,9,73,2,10.6,"Medium","Passed"
488,1,3,94,7,2.8,"Low","Passed"
489,7,1,93,11,6,"Low","Failed"
490,13,8,56,13,11.5,"Medium","Failed"
491,11,7,11,6,8.8,"Medium","Passed"
492,7,5,95,0,5,"Low","Passed"
493,8,3,61,9,6.7,"Low","Failed"
494,7,7,35,15,8.6,"Medium","Failed"
495,8,4,43,6,6.4,"Low","Passed"
496,19,9,52,7,13.6,"High","Passed"
497,0,5,38,5,2.5,"Low","Passed"
498,2,9,65,6,4.9,"Low","Passed"
499,7,7,70,5,6.6,"Low","Passed"
500,1,9,26,13,5.8,"Low","Failed"
501,0,9,4,8,4.3,"Low","Passed"
502,8,7,82,14,8.9,"Medium","Failed"
503,6,4,43,12,6.6,"Low","Failed"
504,12,3,86,9,8.7,"Medium","Failed"
505,19,9,46,13,14.8,"High","Failed"
506,13,2,30,4,7.9,"Medium","Passed"
507,15,8,70,3,10.5,"Medium","Passed"
508,6,1,68,10,5.3,"Low","Failed"
509,3,10,12,11,6.7,"Low","Failed"
510,12,7,53,11,10.3,"Medium","Failed"
511,11,2,29,5,7.1,"Medium","Passed"
512,12,10,42,11,11.2,"Medium","Failed"
513,19,3,74,4,11.2,"Medium","Passed"
514,9,2,52,6,6.3,"Low","Passed"
515,8,5,7,15,8.5,"Medium","Failed"
516,11,8,71,14,10.7,"Medium","Failed"
517,7,1,87,12,6.2,"Low","Failed"
518,6,1,35,9,5.1,"Low","Failed"
519,14,8,6,2,9.8,"Medium","Passed"
520,18,2,41,8,11.2,"Medium","Passed"
521,16,8,31,11,12.6,"High","Failed"
522,10,3,2,0,5.9,"Low","Passed"
523,6,4,45,1,4.4,"Low","Passed"
524,18,7,30,9,12.9,"High","Failed"
525,2,2,1,0,1.6,"Low","Passed"
526,5,4,8,9,5.5,"Low","Failed"
527,6,1,62,3,3.9,"Low","Passed"
528,3,3,43,1,2.6,"Low","Passed"
529,9,7,45,5,7.6,"Medium","Passed"
530,16,8,84,8,12,"Medium","Passed"
531,15,3,45,10,10.4,"Medium","Failed"
532,7,7,99,10,7.6,"Medium","Failed"
533,20,2,65,3,11.2,"Medium","Passed"
534,2,2,9,6,2.8,"Low","Passed"
535,11,9,31,13,10.8,"Medium","Failed"
536,20,10,6,5,14,"High","Passed"
537,13,7,70,7,10,"Medium","Passed"
538,4,1,59,5,3.3,"Low","Passed"
539,13,2,75,8,8.7,"Medium","Passed"
540,5,9,96,2,5.6,"Low","Passed"
541,8,9,4,5,7.7,"Medium","Passed"
542,0,1,11,8,1.9,"Low","Passed"
543,19,6,12,7,12.7,"High","Passed"
544,13,6,89,2,8.7,"Medium","Passed"
545,18,9,91,9,13.5,"High","Failed"
546,4,7,16,1,4.3,"Low","Passed"
547,1,9,21,3,3.8,"Low","Passed"
548,0,3,31,12,3.3,"Low","Failed"
549,19,8,18,11,14.1,"High","Failed"
550,3,10,34,14,7.3,"Medium","Failed"
551,10,6,18,1,7,"Low","Passed"
552,4,10,72,6,6.2,"Low","Passed"
553,3,9,29,12,6.6,"Low","Failed"
554,18,9,37,11,13.9,"High","Failed"
555,2,4,63,5,3.2,"Low","Passed"
556,0,9,41,5,3.7,"Low","Passed"
557,6,9,99,15,8.7,"Medium","Failed"
558,4,5,34,8,5.1,"Low","Passed"
559,8,1,63,9,6.1,"Low","Failed"
560,16,2,91,14,11.4,"Medium","Failed"
561,20,3,4,8,12.5,"High","Passed"
562,4,5,94,2,3.9,"Low","Passed"
563,11,8,76,1,8.1,"Medium","Passed"
564,1,1,1,14,3.6,"Low","Failed"
565,17,7,97,13,13.2,"High","Failed"
566,3,10,90,7,5.9,"Low","Passed"
567,9,5,32,15,9,"Medium","Failed"
568,14,7,12,4,9.9,"Medium","Passed"
569,7,9,75,4,7,"Low","Passed"
570,0,10,93,6,4.2,"Low","Passed"
571,10,2,90,1,5.8,"Low","Passed"
572,4,6,12,13,6.4,"Low","Failed"
573,10,3,92,0,5.9,"Low","Passed"
574,14,3,95,15,10.9,"Medium","Failed"
575,14,8,11,3,10,"Medium","Passed"
576,9,7,15,12,9,"Medium","Failed"
577,14,2,28,9,9.4,"Medium","Failed"
578,14,5,62,13,11.1,"Medium","Failed"
579,19,6,59,3,11.9,"Medium","Passed"
580,11,3,23,1,6.6,"Low","Passed"
581,8,1,69,4,5.1,"Low","Passed"
582,3,9,27,5,5.2,"Low","Passed"
583,2,8,55,12,5.8,"Low","Failed"
584,6,9,85,11,7.9,"Medium","Failed"
585,3,1,20,10,3.8,"Low","Failed"
586,7,8,82,10,7.9,"Medium","Failed"
587,20,8,35,6,13.6,"High","Passed"
588,4,8,86,10,6.4,"Low","Failed"
589,5,10,27,12,7.9,"Medium","Failed"
590,3,10,79,12,6.9,"Low","Failed"
591,2,8,67,6,4.6,"Low","Passed"
592,10,8,5,6,8.6,"Medium","Passed"
593,9,8,18,6,8.1,"Medium","Passed"
594,4,2,56,6,3.8,"Low","Passed"
595,10,2,30,2,6,"Low","Passed"
596,9,2,74,5,6.1,"Low","Passed"
597,14,3,37,14,10.7,"Medium","Failed"
598,18,2,67,9,11.4,"Medium","Failed"
599,9,9,40,15,10.2,"Medium","Failed"
600,12,9,75,13,11.3,"Medium","Failed"
